Filename_1,Filename_2,Similarity_score
https://vaani.iisc.ac.in/Audios/Begusara/IISc_VaaniProject_M_BR_Begusara_88978699_0711260000_BHBSRI_216123_5717_8405.wav,https://vaani.iisc.ac.in/Audios/Sitamarhi/IISc_VaaniProject_M_BR_Sitamarhi_Saha51675_1322300000_CGBMEX_346501_14171_16859.wav,0.54279774
https://vaani.iisc.ac.in/Audios/Begusara/IISc_VaaniProject_M_BR_Begusara_Upen34982_1611020000_UPVNLI_49426_13941_16629.wav,https://vaani.iisc.ac.in/Audios/Chandrap/IISc_VaaniProject_M_MH_Chandrap_Guru775412_0853120000_MRCTD_135869_2464_5152.wav,0.5820565
https://vaani.iisc.ac.in/Audios/Begusara/IISc_VaaniProject_M_BR_Begusara_54298747_1005420000_BHJHAC_137522_16917_19605.wav,https://vaani.iisc.ac.in/Audios/Jahanaba/IISc_VaaniProject_M_BR_Jahanaba_Gawa32142_0327250000_KTDKASH_139248_17536_20224.wav,0.6240828
https://vaani.iisc.ac.in/Audios/Begusara/IISc_VaaniProject_M_BR_Begusara_Karu87577_0942370000_BHBSBR_303540_1685_4373.wav,https://vaani.iisc.ac.in/Audios/Jahanaba/IISc_VaaniProject_M_BR_Jahanaba_RajS39367_1222570000_BHJHCOS_161669_842_3530.wav,0.47343174
https://vaani.iisc.ac.in/Audios/Begusara/IISc_VaaniProject_M_BR_Begusara_Vini46659_0545590000_BHBSTO_142584_9130_11818.wav,https://vaani.iisc.ac.in/Audios/Saharsa/IISc_VaaniProject_M_BR_Saharsa_Rame87720_1202240000_BHSHMA_114791_6197_8885.wav,0.57102877
https://vaani.iisc.ac.in/Audios/Begusara/IISc_VaaniProject_M_BR_Begusara_Ranj21448_1437500000_CGBTCS_45717_704_3392.wav,https://vaani.iisc.ac.in/Audios/Chandrap/IISc_VaaniProject_M_MH_Chandrap_Shiv20901_0958080000_MRCZO_247180_6570_9258.wav,0.46790248
https://vaani.iisc.ac.in/Audios/Begusara/IISc_VaaniProject_M_BR_Begusara_72625_1436090000_BHBSGOB_130812_2048_4736.wav,https://vaani.iisc.ac.in/Audios/Sarguja/IISc_VaaniProject_M_CG_Sarguja_poon59988_1211450000_CGSGOTHER_293376_3791_6479.wav,0.6306938
https://vaani.iisc.ac.in/Audios/Begusara/IISc_VaaniProject_M_BR_Begusara_Aman54502_1127410000_APVBO_57741_896_3584.wav,https://vaani.iisc.ac.in/Audios/Nagpur/IISc_VaaniProject_M_MH_Nagpur_59581224_0536150000_MRDBIS_298865_5290_7978.wav,0.4373181
https://vaani.iisc.ac.in/Audios/Nagaur/IISc_VaaniProject_M_RJ_Nagaur_Moha04507_0808560000_RJNGPP_319405_10325_13013.wav,https://vaani.iisc.ac.in/Audios/Pune/IISc_VaaniProject_M_MH_Pune_Kshi37602_1144030000_MRPCO_28223_426_3114.wav,0.5691752
https://vaani.iisc.ac.in/Audios/Nagaur/IISc_VaaniProject_M_RJ_Nagaur_Purn60361_0435150000_BHGJINA_178734_11008_13696.wav,https://vaani.iisc.ac.in/Audios/Bijapur/IISc_VaaniProject_M_KA_Bijapur_23023672_1213560000_KTCMFE_271184_15488_18176.wav,0.5105723
https://vaani.iisc.ac.in/Audios/Nagaur/IISc_VaaniProject_M_RJ_Nagaur_Vija374983_1437010000_BHGJTNT_193315_1248_3936.wav,https://vaani.iisc.ac.in/Audios/Chandrap/IISc_VaaniProject_M_MH_Chandrap_Pras28476_1504520000_MRCIT_309886_266_2954.wav,0.66073596
https://vaani.iisc.ac.in/Audios/Nagaur/IISc_VaaniProject_M_RJ_Nagaur_Aasi37661_1341350000_RJNGGA_2716_21120_23808.wav,https://vaani.iisc.ac.in/Audios/North24Parganas/IISc_VaaniProject_M_WB_North24Parganas_Soha70370_1503510000_TGKTR_211532_8429_11117.wav,0.4439479
https://vaani.iisc.ac.in/Audios/Nagaur/IISc_VaaniProject_M_RJ_Nagaur_Paya59014_1632130000_RJNGMOT_141549_746_3434.wav,https://vaani.iisc.ac.in/Audios/Solapur/IISc_VaaniProject_M_MH_Solapur_05242060_0545080000_MRSCS_297685_14784_17472.wav,0.68549275
https://vaani.iisc.ac.in/Audios/Nagaur/IISc_VaaniProject_M_RJ_Nagaur_RONA99938_0735560000_TGKGY_168875_5613_8301.wav,https://vaani.iisc.ac.in/Audios/Vishakapattanam/IISc_VaaniProject_M_AP_Vishakapattanam_GSwa79498_1148480000_APVTE_1249_3798_6486.wav,0.6332066
https://vaani.iisc.ac.in/Audios/Nagaur/IISc_VaaniProject_M_RJ_Nagaur_Suni03817_1436280000_RJNGBK_371098_20832_23520.wav,https://vaani.iisc.ac.in/Audios/Srikakulam/IISc_VaaniProject_M_AP_Srikakulam_Redd34998_0512250000_JKJEV_370364_365_3053.wav,0.52290326
https://vaani.iisc.ac.in/Audios/Nagaur/IISc_VaaniProject_M_RJ_Nagaur_Aham01345_1524290000_UPVNLA_185132_469_3157.wav,https://vaani.iisc.ac.in/Audios/Saran/IISc_VaaniProject_M_BR_Saran_Sagu52211_0800260000_APCTAUR_252651_13205_15893.wav,0.489934
https://vaani.iisc.ac.in/Audios/Nagaur/IISc_VaaniProject_M_RJ_Nagaur_Muni37624_0410400000_RJNGFAR_371392_17834_20522.wav,https://vaani.iisc.ac.in/Audios/Solapur/IISc_VaaniProject_M_MH_Solapur_Mana08863_1054110000_TGKWOHS_81008_789_3477.wav,0.59934056
