Unnamed: 0,NEPALESE,KHORTHA,KORTHA,KUDUKH,MARWARI,BAJJIKA,BADAYUNI,KHANDESHI,DORLI,NAGPURI,HARAUTI,BEARYBASHE,RAJBANGSHI,GONDI,KURUMALI,BANTAR,JAIPURI,MALVANI,KONKANI,RAJASTHANI,UNKNOWN,CHATTISGARHI,KHARI BOLI
Bhojpuri,0.03571428571428571,0.00021561017680034498,0.0,0.0,0.0,0.08595448615741412,0.0,0.0,0.0,0.05835010060362173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005350084056522332,0.0013151602104256336
Hindi,0.10714285714285714,0.24277705907718844,0.0,0.4064516129032258,0.35462125243924075,0.2650625694545103,0.0,0.011413225914736489,0.004020100502512563,0.38329979879275655,0.8951612903225806,0.13343677269200932,0.009615384615384616,0.0019723865877712033,0.35920177383592017,0.0,0.7440191387559809,0.0418379330593071,0.023871115622646454,0.1847676984552991,0.904891304347826,0.46763823890226724,0.649689143950263
Panjabi,0.05357142857142857,0.05648986632169038,0.0,0.04516129032258064,0.16039855715214948,0.006715949171377494,0.0,0.00906344410876133,0.008040201005025126,0.008048289738430584,0.03225806451612903,0.005430566330488751,0.0,0.007889546351084813,0.0066518847006651885,0.004048582995951417,0.07775119617224881,0.007046388725778039,0.013490946003470972,0.17709389475358342,0.016304347826086956,0.024399109455222865,0.06121472979435677
Nepali,0.19642857142857142,0.04225959465286762,0.0,0.0064516129032258064,0.005026314233339247,0.1549016765714838,0.0,0.05706612957368244,0.0020100502512562816,0.04124748490945674,0.0,0.0023273855702094647,0.0,0.0019723865877712033,0.024390243902439025,0.004048582995951417,0.0035885167464114833,0.01717557251908397,0.02825894757523167,0.016381384067911176,0.002717391304347826,0.01465309646053887,0.008847441415590627
Gujarati,0.3392857142857143,0.035683484260457095,0.0,0.012903225806451613,0.047897817988291645,0.036043871092428854,0.06547619047619048,0.026183282980866064,0.0020100502512562816,0.035211267605633804,0.0,0.0,0.028846153846153848,0.0019723865877712033,0.008869179600886918,0.0,0.009569377990430622,0.017322372284204347,0.028488162677232393,0.05312021629788672,0.01358695652173913,0.049888681902857925,0.010401721664275465
Bengali,0.03571428571428571,0.0826865028029323,1.0,0.07096774193548387,0.008337768316480398,0.133400975986858,0.26785714285714285,0.025176233635448138,0.7819095477386935,0.03621730382293763,0.0,0.003878975950349108,0.875,0.007889546351084813,0.011086474501108648,0.0,0.0023923444976076554,0.012477980035231944,0.014669766528046104,0.013121011510705553,0.0,0.03344086510064065,0.0234337637494022
Portuguese,0.017857142857142856,0.0,0.0,0.0,0.0001182662172550411,0.0003865294487123738,0.0,0.0023497818059751594,0.0020100502512562816,0.0,0.0,0.0007757951900698216,0.0,0.0,0.0,0.0,0.0,0.000733998825601879,0.0004911752185729723,0.0004771276912983837,0.0,0.00015902585306011178,0.0
Haitian,0.017857142857142856,0.000646830530401035,0.0,0.0,0.00026609898882384245,0.00028989708653428034,0.0,0.004028197381671702,0.003015075376884422,0.0,0.0,0.0007757951900698216,0.0,0.0,0.0,0.0,0.0,0.0024955960070463887,0.0016372507285765743,0.0005765292936522137,0.0,0.00026125675859875507,0.0
Assamese,0.03571428571428571,0.09357481673134972,0.0,0.03225806451612903,0.0021583584649045,0.0766294632072281,0.005952380952380952,0.01745552198724404,0.04723618090452261,0.019114688128772636,0.008064516129032258,0.0015515903801396431,0.028846153846153848,0.0019723865877712033,0.03547671840354767,0.0,0.0011961722488038277,0.017615971814445096,0.015029961688332951,0.011868551321047296,0.010869565217391304,0.009484756236085239,0.003945480631276901
Telugu,0.05357142857142857,0.028352738249245363,0.0,0.03225806451612903,0.01176748861687659,0.001594433975938542,0.005952380952380952,0.04028197381671702,0.005025125628140704,0.0030181086519114686,0.0,0.22032583397982933,0.0,0.23076923076923078,0.0,0.0,0.008373205741626795,0.03302994715208456,0.029896198303808245,0.02811077314566311,0.0,0.0036007996728611024,0.006336681013868962
Mahasu Pahari,0.017857142857142856,0.01250539025442001,0.0,0.0,0.0028679557684347465,0.007102478620089868,0.0,0.002014098690835851,0.0,0.0030181086519114686,0.0,0.0,0.0,0.0,0.0022172949002217295,0.0,0.0011961722488038277,0.0035231943628890195,0.002226660990864141,0.0025446810202580466,0.0,0.0030555681766550047,0.0003586800573888092
Sindhi,0.05357142857142857,0.06144890038809832,0.0,0.03870967741935484,0.056235586304772045,0.016427501570275886,0.0,0.013763007720711649,0.0010050251256281408,0.01710261569416499,0.0,0.010861132660977503,0.0,0.013806706114398421,0.0,0.004048582995951417,0.005980861244019139,0.005871990604815032,0.011526245129179083,0.10178724081032187,0.002717391304347826,0.03454268708255714,0.03574844571975132
Marathi,0.03571428571428571,0.049374730487279,0.0,0.012903225806451613,0.01605463899237183,0.009808184761076484,0.6547619047619048,0.5857670359180933,0.006030150753768844,0.023138832997987926,0.0,0.004654771140418929,0.0,0.005917159763313609,0.3968957871396896,0.9878542510121457,0.013157894736842105,0.6812977099236641,0.693244703493893,0.02091409713524582,0.010869565217391304,0.04865055204688991,0.006217120994739359
Sinhala,0.0,0.006144890038809832,0.0,0.0,0.008929099402755603,0.00309223558969899,0.0,0.018798254447801276,0.003015075376884422,0.0,0.008064516129032258,0.02948021722265322,0.0,0.04339250493096647,0.0,0.0,0.0023923444976076554,0.00807398708162067,0.00684370804545008,0.02115266098089501,0.0,0.004600390749238948,0.005141080822572932
