Unnamed: 0,AWADHI,MAITHILI,MARATHI,SURJAPURI,HINDI,ENGLISH,HALBI,SHEKHAWATI,ODIA,DURUWA,AGARIYA,BENGALI,LAMBADI,BUNDELI,BHILI,MAGAHI,GARHWALI,SURGUJIA,BHOJPURI,MEWARI,ANGIKA,TULU,KANNADA,SADRI,MALAYALAM,TELUGU,KUMAONI,BAGRI,BHATRI,TAMIL,ASSAMESE,SANTALI,WAGDI,GUJARATI,URDU,KURUKH
Panjabi,0.041622481442205726,0.011052241782031562,0.007959063113694058,0.007028317980211532,0.037366725229279515,0.06804733727810651,0.01487682948864663,0.05056179775280899,0.006944444444444444,0.017811704834605598,0.0,0.007074774565456788,0.0,0.08636688079942897,0.008895866038723181,0.03257521306088921,0.15237036007229252,0.015451174289245983,0.016666666666666666,0.008368200836820083,0.014882781631398717,0.002976823304273868,0.0029747265359660836,0.023421354764638348,0.0,0.0064928436189658064,0.1272639225181598,0.0051813471502590676,0.007125890736342043,0.008963585434173669,0.0,0.07293868921775898,0.0,0.013215859030837005,0.033233985220267014,0.07329842931937172
Hindi,0.3364262990455992,0.46581373961309014,0.049744809711600384,0.1290344592289321,0.6921985570351501,0.13313609467455623,0.10305366500030115,0.7921348314606742,0.0,0.002544529262086514,0.4117647058823529,0.013675239526350304,0.5144508670520231,0.5074946466809421,0.010465724751439037,0.46881096621829754,0.2049214514110941,0.44499381953028433,0.423535457348407,0.4686192468619247,0.38594257616998856,0.0025515628322347436,0.010433901235672017,0.24592422502870265,0.0,0.010244863604057883,0.5558353510895884,0.8652849740932642,0.009501187648456057,0.3554621848739496,0.8875,0.11205073995771671,0.9239130434782609,0.12334801762114538,0.5747356387539297,0.244533415460425
Girawa,0.0005302226935312832,8.138616923440031e-06,1.0644016200192656e-05,0.0,2.369400410418574e-05,0.0,6.023007890140336e-05,0.0,0.0,0.0,0.0,2.8871019408199093e-05,0.0,0.0,0.0005232862375719519,0.0,8.341443069651049e-05,0.00030902348578491963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.926088288034947e-06,0.0,0.0,0.0,0.0,0.0,0.0010570824524312897,0.0,0.0,0.0,0.0
Bengali,0.1084305408271474,0.08949223169014657,0.00993086711477975,0.1911293074036165,0.007689664899542225,0.005917159763313609,0.03390953442149009,0.0,0.6620370370370371,0.5954198473282443,0.0,0.8487103590592447,0.4624277456647399,0.0039257673090649535,0.027210884353741496,0.041174658589177536,0.01162241067704713,0.05315203955500618,0.0618276807125728,0.0041841004184100415,0.061155500921942225,0.0034020837763129915,0.0017545989016721924,0.14213547646383468,0.0009852216748768472,0.00362489815808177,0.001937046004842615,0.0,0.047505938242280284,0.0005602240896358543,0.0125,0.015856236786469344,0.0,0.3039647577092511,0.003102927367002817,0.036957191253464736
Urdu,0.053022269353128315,0.04531581902971409,0.005715836699503457,0.010576595018764927,0.11709800960759847,0.005917159763313609,0.007769680178281033,0.07865168539325842,0.0,0.002544529262086514,0.0,0.0018546192943647895,0.005780346820809248,0.17237687366167023,0.0015698587127158557,0.12935106273744737,0.025663839844293063,0.05315203955500618,0.040844467283316206,0.2510460251046025,0.04293616647642462,0.0012757814161173718,0.0013926064098223469,0.0452353616532721,0.0,0.0014253053331458607,0.08832929782082324,0.12435233160621761,0.0,0.01568627450980392,0.1,0.011627906976744186,0.05434782608695652,0.004405286343612335,0.25819621932797127,0.02309824453341546
Nepali,0.03632025450689289,0.07086293755239234,0.011516825528608455,0.10412828386216308,0.006918329009177584,0.0014792899408284023,0.12232729024875022,0.0,0.018518518518518517,0.010178117048346057,0.0,0.0044351385052785845,0.0,0.007494646680942184,0.06645735217163788,0.026055036451381044,0.08905880717364104,0.015451174289245983,0.09558067831449127,0.0041841004184100415,0.06062867679339714,0.0025515628322347436,0.0013542777930382456,0.012399540757749712,0.0,0.002503914774445431,0.02062953995157385,0.0,0.16389548693586697,0.0016806722689075631,0.0,0.0021141649048625794,0.0,0.00881057268722467,0.0018780876168701262,0.019094548814290114
Bhili,0.004772004241781549,0.0006917824384924026,0.0010111815390183023,0.0037529853292391675,0.00037398103775255326,0.0,0.0042763356019996385,0.0,0.0,0.0,0.0,0.000815262595669622,0.0,0.0,0.0141287284144427,0.0007700995995482083,0.0009453635478937856,0.0015451174289245982,0.0008992805755395684,0.0,0.0023707085784528932,0.0,2.9811146387634338e-05,0.0036739380022962113,0.0,2.1186971168384417e-05,0.0,0.0,0.0023752969121140144,0.0,0.0,0.0010570824524312897,0.0,0.004405286343612335,0.0001633119666843588,0.0
Kok Borok,0.0015906680805938495,0.000268574358473521,0.00024747337665447926,0.002388263391334016,5.827444252651087e-05,0.0,0.00024092031560561344,0.0,0.0023148148148148147,0.0,0.0,0.0004193171866428916,0.0,0.0,0.0052328623757195184,7.700995995482083e-05,0.00019463367162519116,0.0006180469715698393,0.000539568345323741,0.0,8.780402142418122e-05,0.0,8.517470396466953e-06,0.0016073478760045925,0.0,1.1556529728209681e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Magahi,0.0005302226935312832,0.003996060909409055,2.661004050048164e-06,0.000341180484476288,0.000649984166641852,0.0,0.00018069023670421009,0.0,0.0,0.0,0.0,1.2373294032085326e-05,0.0,0.00035688793718772306,0.0,0.0044665776773796075,2.7804810232170165e-05,0.001854140914709518,0.004710517300445358,0.0,0.0016682764070594432,0.0,0.0,0.0020665901262916187,0.0,5.7782648641048405e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.16559833421794e-05,0.0003079765937788728
Sindhi,0.039501590668080594,0.05093146470688771,0.011232098095253301,0.05417946093483453,0.028639006798578233,0.005917159763313609,0.03607781726194061,0.0028089887640449437,0.0,0.01272264631043257,0.058823529411764705,0.003160689219973796,0.0,0.06995003568879372,0.014652014652014652,0.05742376013964473,0.11906019741415265,0.03337453646477132,0.02328708461801987,0.04184100418410042,0.0762577926069014,0.00850520944078248,0.001724787755284558,0.018140068886337544,0.0,0.003490071977919324,0.05452784503631961,0.0,0.030878859857482184,0.0014005602240896359,0.0,0.02536997885835095,0.021739130434782608,0.01762114537444934,0.03572449271220349,0.023406221127194333
