,AWADHI,MAITHILI,MARATHI,SURJAPURI,HINDI,ENGLISH,HALBI,SHEKHAWATI,ODIA,DURUWA,AGARIYA,BENGALI,LAMBADI,BUNDELI,BHILI,MAGAHI,GARHWALI,SURGUJIA,BHOJPURI,MEWARI,ANGIKA,TULU,KANNADA,SADRI,MALAYALAM,TELUGU,KUMAONI,BAGRI,BHATRI,TAMIL,ASSAMESE,SANTALI,WAGDI,GUJARATI,URDU,KURUKH
Yagua,1,15,23,1,375,0,0,0,0,0,0,29,0,0,11,4,4,1,5,0,0,0,11,3,0,10,0,0,0,0,0,1,0,0,1,3
Garhwali,2,258,78,52,1137,0,193,0,0,0,0,69,0,3,1,28,717,3,370,0,178,0,35,1,0,21,126,0,12,0,0,0,0,0,3,20
Gunwinggu,2,3,5,5,75,0,0,0,0,0,0,39,0,0,0,5,0,0,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1
Bawm Chin,1,3,2,1,17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1
Western Parbate Kham,1,20,23,9,78,0,2,0,0,0,0,14,0,0,11,4,8,0,49,0,5,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0
Churahi,1,23,18,8,479,0,28,0,0,0,0,23,0,4,3,14,134,0,10,0,6,0,12,0,0,2,16,0,0,0,0,0,0,0,0,4
Palya Bareli,1,1,23,0,16,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hawaiian,1,33,114,0,660,0,2,0,0,0,0,68,0,0,0,23,3,1,15,0,7,0,18,2,0,47,1,0,0,0,0,0,0,0,6,0
Falam Chin,2,3,8,2,39,0,3,0,0,0,0,4,0,0,0,6,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
Rohingya,1,8,17,9,62,0,0,0,0,0,0,146,0,0,0,0,1,0,43,0,3,0,8,1,0,0,0,0,1,0,0,0,0,0,0,1
Moken,2,5,8,5,52,0,1,0,0,0,0,5,0,0,0,1,1,0,9,0,1,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0
Xerénte,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brokskat,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bagri,2,78,9,2,609,0,5,0,0,0,0,25,0,2,0,5,75,0,45,0,41,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0
Highland Popoluca,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Haitian,1,36,240,5,817,0,18,0,0,2,0,422,0,0,1,5,14,8,28,0,10,3,26,1,0,77,0,0,0,0,0,1,0,0,7,0
Northeast Kiwai,1,2,1,0,32,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Southern Ghale,2,5,21,9,76,0,0,0,0,0,0,61,0,0,0,0,9,0,2,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0
Dogri (individual language),1,4,1,0,722,0,0,0,0,0,0,28,0,0,0,15,158,0,2,0,0,0,16,0,0,2,35,0,0,0,0,0,0,0,0,2
Khowar,1,8,16,0,89,0,4,0,0,0,0,33,0,0,0,2,0,0,8,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Adi,1,1,9,0,38,0,1,0,0,0,0,2,0,0,0,0,3,0,11,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,1,0
Siona,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kathoriya Tharu,1,90,13,2,578,0,9,0,0,0,0,16,0,0,0,22,3,4,85,0,17,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1
Shekhawati,1,14,1,0,55,0,0,0,0,0,0,8,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bhunjia,1,4,2,1,19,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Malay (individual language),1,41,308,11,862,0,20,0,0,3,0,161,0,0,1,13,21,3,14,0,13,19,90,2,0,315,3,0,0,1,0,11,0,0,11,3
Oromo,1,33,208,15,775,0,14,0,0,0,0,393,0,2,0,6,21,4,34,0,7,12,153,5,0,242,2,0,1,0,0,5,0,0,9,4
Yongkom,1,4,3,1,75,0,0,0,0,0,0,20,0,0,0,5,2,0,12,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
Aweer,1,25,44,13,490,0,11,0,0,0,0,82,0,0,22,5,6,1,28,0,4,4,40,6,0,22,1,0,0,0,0,2,0,0,2,7
Miju-Mishmi,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portuguese,1,38,48,1,410,0,2,0,0,0,0,95,0,0,0,10,4,4,14,0,3,0,15,1,0,25,1,0,0,0,0,0,0,0,4,0
Pangwali,1,168,169,33,1910,0,20,0,0,0,0,85,0,3,4,30,170,3,149,0,77,0,22,3,1,9,19,0,0,0,0,0,0,0,4,2
Powari,1,0,0,0,29,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Naro,1,2,11,0,40,0,0,0,0,0,0,11,0,0,0,6,2,0,2,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1
Kumaoni,0,441,53,8,2745,0,7,0,0,0,0,20,0,0,0,65,56,35,436,0,77,0,3,1,0,3,4,0,0,0,0,0,0,0,4,1
Tawallammat Tamajaq,0,2,16,3,120,0,2,0,0,0,0,12,0,0,5,13,3,1,5,0,0,0,26,0,0,3,0,0,0,0,0,0,0,0,3,3
Nimadi,0,299,23,31,1298,0,20,0,0,0,0,46,0,2,0,47,30,2,310,0,178,0,0,4,0,1,0,0,2,0,0,0,0,0,3,0
Pahari-Potwari,0,20,16,2,1554,0,3,0,0,0,0,3,0,9,0,11,36,0,31,0,7,0,2,1,0,6,8,0,0,0,0,0,0,0,10,2
Hebrew,0,10,33,3,150,0,4,0,0,0,0,44,0,0,0,16,2,1,7,0,2,0,16,1,0,16,0,0,0,0,0,0,0,0,1,0
Awadhi,0,185,6,6,850,0,3,0,0,0,0,2,0,1,0,35,2,3,169,0,16,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0
Sauria Paharia,0,92,0,23,67,0,0,0,0,0,0,110,0,0,0,12,1,0,51,0,9,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Thulung,0,10,19,1,128,0,7,0,0,0,0,8,0,1,0,2,10,0,44,0,4,1,4,0,0,3,0,0,0,0,0,0,0,0,1,1
Tinani,0,17,12,4,268,0,2,0,0,0,0,162,0,0,0,1,48,0,9,0,0,0,8,1,0,8,4,0,0,0,0,0,0,0,1,5
Keiyo,0,1,4,1,5,0,1,0,0,0,0,8,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Catalan,0,29,61,19,305,0,2,0,0,1,0,163,0,0,4,9,8,3,20,0,5,7,72,1,0,141,0,0,0,0,0,0,0,0,1,2
Iban,0,1,9,3,31,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0
Darai,0,10,0,0,2,0,3,0,0,0,0,0,0,0,0,3,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naga Pidgin,0,4,97,13,80,0,0,0,0,0,0,172,0,0,2,0,6,0,9,0,0,0,9,1,0,2,0,0,0,0,0,0,0,0,1,0
Faroese,0,24,34,1,397,0,1,0,0,0,0,173,0,0,0,12,5,1,12,0,1,1,17,0,0,38,0,0,0,0,0,0,0,0,3,1
Koya,0,1,12,4,23,0,16,0,0,0,0,16,0,0,1,1,3,0,4,0,0,9,197,0,0,239,0,0,0,1,0,0,0,0,0,4
Gaddi,0,58,26,5,2316,0,5,0,0,0,0,111,0,1,6,27,152,4,41,0,9,0,26,3,0,14,21,0,0,0,0,0,0,0,3,1
Eastern Tamang,0,17,53,11,119,0,4,0,0,0,0,51,0,1,2,4,18,0,12,0,2,1,13,2,0,6,3,0,1,0,0,0,0,0,1,0
Turkish,0,40,100,2,563,1,7,0,0,5,0,500,0,0,2,13,16,0,11,0,7,3,42,0,0,47,0,0,0,1,0,0,0,0,3,2
Northern Hindko,0,71,69,6,5204,0,7,12,0,0,0,87,0,16,0,42,517,0,102,0,17,0,14,3,0,7,141,0,0,0,0,0,0,0,138,0
Halbi,0,123,6,6,107,0,225,0,0,0,0,7,0,1,0,28,0,1,123,0,58,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0
Kurmukar,0,1,0,6,14,0,1,0,0,0,0,66,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajbanshi,0,37,4,46,110,0,3,0,0,0,0,368,0,0,0,2,1,0,186,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bine,0,4,1,0,11,0,0,0,0,0,0,4,0,0,2,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mamara Senoufo,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmen,0,60,201,17,1136,0,2,0,0,6,0,195,0,1,4,27,33,1,26,0,9,5,164,5,1,127,3,0,1,1,0,0,0,0,7,7
Tatar,0,15,42,3,309,0,0,0,0,0,0,94,0,0,0,6,3,0,16,0,0,1,41,0,0,17,0,0,0,0,0,0,0,0,2,2
Kadazan Dusun,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tibetan,0,124,195,62,1087,0,9,0,1,5,0,782,0,0,1,43,204,2,58,0,19,8,111,2,1,178,7,0,0,9,0,2,0,0,12,0
Limbu,0,4,10,0,59,0,0,0,0,0,0,36,0,0,0,1,1,0,6,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Uripiv-Wala-Rano-Atchin,0,6,31,2,91,0,5,0,0,2,0,101,0,0,0,1,1,1,9,0,1,0,5,0,0,8,0,0,0,1,0,0,0,0,0,2
Sirmauri,0,18,87,20,1031,0,29,0,0,0,0,216,0,0,1,7,129,3,141,0,8,0,14,10,0,5,5,0,0,0,0,0,0,0,2,5
Kaingang,0,2,1,0,69,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Turi,0,9,0,3,5,0,1,0,0,0,0,79,0,0,0,1,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gogodala,0,13,13,1,163,0,4,0,0,0,0,17,0,0,3,5,21,1,39,0,2,2,11,0,0,3,0,0,1,0,0,0,0,0,2,0
Uzbek,0,29,63,5,444,0,0,0,0,1,0,162,0,0,4,15,7,0,15,0,5,0,56,3,1,52,0,0,0,0,0,0,0,0,1,5
Tawang Monpa,0,3,1,1,8,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Tase Naga,0,17,19,1,142,0,5,0,0,0,0,22,0,0,5,1,13,0,15,0,4,0,3,0,0,11,0,0,0,0,0,1,0,0,0,0
Slovenian,0,18,65,2,583,0,1,0,0,1,0,72,0,0,0,14,6,2,9,0,4,0,40,0,0,46,0,0,0,0,0,0,0,0,10,0
Mon,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonian,0,11,17,0,74,0,2,0,0,0,0,34,0,0,0,2,2,0,4,0,2,0,40,0,0,18,0,0,0,0,0,0,0,0,0,0
Cacua,0,2,6,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarusian,0,10,7,1,54,0,1,0,0,0,0,13,0,0,0,3,3,0,3,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0
Dangaura Tharu,0,69,37,1,269,0,6,0,0,0,0,21,0,0,0,14,9,1,29,0,5,0,2,1,0,5,0,0,0,0,0,0,0,0,1,0
Western Panjabi,0,10,10,0,612,0,0,0,0,0,0,16,0,10,0,2,5,0,24,0,0,0,5,2,0,17,3,0,0,0,0,0,0,0,3,5
Kochila Tharu,0,86,3,1,133,0,1,0,0,0,0,0,0,0,0,41,0,0,130,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Azerbaijani,0,30,24,3,405,0,0,0,0,0,0,187,0,0,1,14,7,0,9,0,3,0,11,0,0,28,0,0,0,0,0,0,0,0,13,1
Aekyom,0,12,3,0,126,0,2,0,0,0,0,20,0,0,0,5,7,0,20,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jumli,0,11,1,0,3,0,1,0,0,0,0,1,0,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toma,0,2,3,0,47,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balti,0,14,76,2,162,0,1,0,0,0,0,74,0,1,1,3,10,0,9,0,6,0,2,0,0,6,1,0,1,0,0,0,0,0,2,1
Armenian,0,33,30,0,217,0,0,0,0,1,0,184,0,0,1,12,2,0,9,0,3,0,2,2,0,11,0,0,0,0,0,0,0,0,10,0
Maltese,0,7,30,0,183,0,1,0,0,1,0,34,0,0,0,7,2,0,2,0,1,1,3,0,0,15,0,0,0,0,0,0,0,0,1,0
French,0,6,18,0,81,0,0,0,0,0,0,35,0,0,0,1,3,0,2,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0
Croatian,0,6,2,0,58,0,0,0,0,0,0,10,0,0,0,2,1,0,4,0,0,0,14,0,0,8,0,0,0,0,0,0,0,0,0,1
Caribbean Hindustani,0,40,15,0,638,0,2,0,0,0,0,3,0,0,0,9,0,0,51,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0
Chak,0,8,11,3,74,0,0,0,0,0,0,6,0,1,0,2,5,0,5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Sankaran Maninka,0,1,1,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0
Yoruba,0,11,84,1,412,0,2,0,0,0,0,124,0,0,0,9,8,2,16,0,0,1,27,0,0,31,1,0,0,0,0,1,0,0,5,0
Piratapuyo,0,4,0,0,58,0,0,0,0,0,0,3,0,0,0,1,0,0,6,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Sonha,0,35,3,9,130,0,25,0,0,0,0,2,0,0,0,8,3,0,58,0,27,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
Albanian,0,38,46,3,267,0,3,0,0,0,0,105,0,0,2,5,15,0,7,0,1,0,16,0,0,38,0,0,0,1,0,0,0,0,6,0
Kabuverdianu,0,14,43,0,186,0,1,0,0,1,0,40,0,0,0,7,5,3,7,0,2,5,22,1,0,36,0,0,0,0,0,0,0,0,3,0
Irish,0,11,12,0,81,0,1,0,0,0,0,63,0,0,0,2,2,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,2,0
Afrikaans,0,4,11,0,94,1,0,0,0,0,0,30,0,0,0,7,0,0,3,0,0,0,8,0,0,19,0,0,0,0,0,0,0,0,7,0
Benga,0,5,3,6,8,0,6,0,0,0,0,793,0,1,0,0,0,0,9,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Lepcha,0,2,4,0,22,0,1,0,0,0,0,3,0,0,2,0,3,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0
Hinduri,0,6,37,0,1286,0,4,0,0,0,0,26,0,6,0,1,201,0,18,0,0,0,2,0,0,1,61,0,0,0,0,0,0,0,8,0
Brahui,0,3,0,2,56,0,0,0,0,0,0,1,0,0,0,0,1,0,12,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Spanish,0,11,15,2,203,0,2,0,0,0,0,48,0,0,1,8,0,1,7,0,1,0,8,0,0,16,0,0,0,0,0,0,0,0,1,0
Makayam,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baniwa,0,1,1,0,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mandarin Chinese,0,15,30,5,106,0,0,0,0,0,0,58,0,0,0,0,3,0,1,0,1,2,1,0,0,11,2,0,0,0,0,0,0,0,3,0
Alune,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norwegian Bokmål,0,11,15,2,292,0,1,0,0,0,0,99,0,0,1,4,3,1,3,0,0,3,29,0,0,72,1,0,0,0,0,0,0,0,2,2
Bribri,0,1,1,0,16,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukrainian,0,6,7,0,72,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,0
Saho,0,10,13,4,183,0,1,0,0,0,0,15,0,1,1,2,8,1,6,0,1,0,27,1,0,5,0,0,0,0,0,0,0,0,1,2
Ganda,0,2,8,0,85,0,0,0,0,0,0,65,0,0,1,3,1,1,8,0,0,2,3,0,0,13,0,0,0,0,0,0,0,0,1,0
Dhanwar (Nepal),0,6,0,0,2,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angika,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palenquero,0,7,34,2,137,0,1,0,0,0,0,11,0,0,0,0,3,0,5,0,0,1,8,1,0,4,0,0,0,0,0,0,0,0,3,0
Yaminahua,0,3,4,0,41,0,1,0,0,0,0,2,0,0,1,0,1,0,3,0,0,0,3,0,0,4,1,0,0,0,0,0,0,0,0,0
Pattani Malay,0,3,8,0,62,0,0,0,0,0,0,9,0,0,1,2,2,0,5,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0
Czech,0,5,6,0,93,0,1,0,0,0,0,24,0,0,0,2,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,1,0
Takia,0,2,1,0,16,0,1,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Tairora,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgarian,0,6,22,1,72,0,1,0,0,0,0,15,0,0,1,0,2,0,2,0,1,0,13,0,0,9,0,0,0,0,0,0,0,0,2,0
Western Arrarnta,0,4,8,0,67,0,0,0,0,0,0,33,0,0,4,1,6,0,4,0,0,0,8,2,0,6,0,0,0,1,0,0,0,0,0,0
Digaro-Mishmi,0,10,0,2,112,0,0,0,0,0,0,1,0,0,0,1,1,0,9,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Parsi,0,3,1,0,33,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Busa,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southwest Tanna,0,7,46,7,206,0,1,0,0,0,0,50,0,0,1,7,4,0,5,0,0,0,18,1,0,19,0,0,0,0,0,2,0,0,0,0
Nyungar,0,1,2,0,45,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0
Pattani,0,3,14,0,22,0,1,0,0,0,0,21,0,0,0,0,8,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0
Nunggubuyu,0,2,5,2,32,0,0,0,0,0,0,11,0,0,0,0,5,1,4,0,0,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0
Rapanui,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woun Meu,0,20,8,0,249,0,0,0,0,0,0,5,0,0,0,2,0,1,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Nii,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italian,0,8,27,2,145,0,1,0,0,0,0,117,0,0,1,1,3,1,0,0,4,10,107,0,0,99,0,0,0,0,0,0,0,0,0,0
Khisa,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Langi,0,3,5,0,23,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0
Goan Konkani,0,16,880,20,168,0,33,0,0,0,0,755,0,0,27,1,46,0,11,0,2,2,143,2,0,87,4,0,8,0,0,0,0,0,0,3
Jangshung,0,14,32,1,112,0,2,0,0,0,0,110,0,0,5,2,13,0,8,0,3,1,21,0,0,10,1,0,0,0,0,0,0,0,0,5
Murrinh-Patha,0,31,105,20,613,0,9,0,0,0,0,411,0,0,9,15,17,6,63,0,10,10,135,8,0,165,1,0,1,2,0,6,0,0,9,2
Petats,0,1,2,0,14,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Selaru,0,1,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japanese,0,7,19,0,67,0,0,0,0,1,0,131,0,0,0,3,6,0,1,0,0,2,34,0,0,31,0,0,0,0,0,1,0,0,0,0
Martu Wangka,0,2,8,1,23,0,0,0,0,0,0,8,0,0,0,0,1,0,1,0,1,0,2,0,0,7,0,0,0,0,0,1,0,0,1,0
Hungarian,0,11,15,0,136,0,1,0,0,0,0,18,0,0,1,2,1,1,6,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0
Canela,0,6,2,0,22,0,0,0,0,0,0,1,0,0,0,3,4,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kei,0,2,8,3,76,0,0,0,0,0,0,3,0,0,0,4,0,0,5,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
Chimborazo Highland Quichua,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuanian,0,8,21,0,78,0,1,0,0,0,0,8,0,0,1,0,2,0,1,0,1,0,22,0,0,9,1,0,0,0,0,0,0,0,0,0
Betta Kurumba,0,1,5,1,30,0,0,0,0,0,0,7,0,0,1,0,2,0,2,0,0,6,85,0,0,50,0,0,0,0,0,1,0,0,1,0
Hassaniyya,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marwari (India),0,20,8,2,42,0,0,0,0,0,0,7,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Naskapi,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujari,0,3,0,0,133,0,0,0,0,0,0,0,0,12,0,1,10,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0
Bosnian,0,12,12,1,153,0,0,0,0,0,0,43,0,0,0,3,4,1,8,0,2,1,34,0,0,19,0,0,0,0,0,0,0,0,2,0
Braj,0,11,0,1,232,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tem,0,1,2,0,29,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Mayangna,0,1,1,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kwamera,0,6,7,1,53,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,7,1,0,8,0,0,0,0,0,0,0,0,1,1
Bashkir,0,2,1,1,103,0,1,0,0,0,0,5,0,0,0,5,0,0,1,0,1,0,19,0,0,2,0,0,0,2,0,0,0,0,1,0
Khumi Chin,0,1,1,0,27,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Mangarrayi,0,2,1,0,9,0,0,0,0,0,0,11,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andh,0,1,69,1,31,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ninia Yali,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sora,0,3,21,58,60,0,11,0,0,0,0,24,0,2,2,2,0,0,13,0,1,1,8,1,0,31,0,0,2,0,0,31,0,0,0,9
Cebuano,0,3,26,0,104,0,1,0,0,0,0,20,0,0,0,7,5,0,3,0,0,1,3,0,0,26,0,0,0,0,0,0,0,0,2,1
Shilluk,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matbat,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abkhazian,0,6,5,1,40,0,0,0,0,0,0,8,0,0,0,5,0,0,4,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,2,0
Gambian Wolof,0,1,6,2,13,0,0,0,0,0,0,11,0,0,0,0,1,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Zulu,0,1,1,0,16,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manumanaw Karen,0,1,1,1,20,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scots,0,3,4,0,27,0,0,0,0,1,0,20,0,0,0,2,6,0,3,0,0,4,23,0,0,660,0,0,0,1,0,1,0,0,1,0
Kayapó,0,7,7,0,233,0,5,0,0,0,0,30,0,0,0,0,5,0,21,0,3,0,2,0,0,5,1,0,0,0,0,0,0,0,1,0
Puroik,0,2,24,0,62,0,0,0,0,0,0,13,0,0,0,1,4,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,1,1
Araona,0,4,3,0,55,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
